ORD_YMD,CENT_CD,ITEM_CD,ITEM_NM,SUM(A.CONV_QTY)
20250108,20010,123558,농심)츄파춥스오션믹스젤리60g,"1,200"
20250108,20017,123549,해태)오사쯔빠스50g,"4,208"
20250108,20017,123551,엔제이)마키노나쵸칩치즈50g,36
20250108,20017,123555,SAMG)위시캣발바닥모양캔디42g,400
20250108,20017,123558,농심)츄파춥스오션믹스젤리60g,"2,560"
20250108,20033,123549,해태)오사쯔빠스50g,"2,016"
20250108,20033,123558,농심)츄파춥스오션믹스젤리60g,640
20250108,20034,123549,해태)오사쯔빠스50g,"2,400"
20250108,20034,123551,엔제이)마키노나쵸칩치즈50g,144
20250108,20034,123555,SAMG)위시캣발바닥모양캔디42g,240
20250108,20034,123558,농심)츄파춥스오션믹스젤리60g,"3,200"
20250108,20049,123549,해태)오사쯔빠스50g,"2,464"
20250108,20049,123551,엔제이)마키노나쵸칩치즈50g,36
20250108,20049,123555,SAMG)위시캣발바닥모양캔디42g,320
20250108,20049,123558,농심)츄파춥스오션믹스젤리60g,"2,480"
20250108,20050,123555,SAMG)위시캣발바닥모양캔디42g,400
20250108,20050,123558,농심)츄파춥스오션믹스젤리60g,"2,800"
20250108,20065,123549,해태)오사쯔빠스50g,752
20250108,20065,123551,엔제이)마키노나쵸칩치즈50g,36
20250108,20065,123558,농심)츄파춥스오션믹스젤리60g,"1,440"
20250108,20075,123549,해태)오사쯔빠스50g,"4,000"
20250108,20075,123555,SAMG)위시캣발바닥모양캔디42g,160
20250108,20075,123558,농심)츄파춥스오션믹스젤리60g,"2,000"
20250108,20079,123549,해태)오사쯔빠스50g,"3,200"
20250108,20079,123555,SAMG)위시캣발바닥모양캔디42g,480
20250108,20079,123558,농심)츄파춥스오션믹스젤리60g,"2,400"
20250108,20080,123549,해태)오사쯔빠스50g,"4,000"
20250108,20080,123555,SAMG)위시캣발바닥모양캔디42g,560
20250108,20080,123558,농심)츄파춥스오션믹스젤리60g,"2,400"
20250108,20081,123549,해태)오사쯔빠스50g,"4,544"
